id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level
16361,Youngstown State University,youngstown-state-university,approved,,,,,https://ysu.edu/general-counsel/public-records,,,,https://www.muckrock.com/agency/youngstown-25757/youngstown-state-university-16361/,0,0,0,False,True,True,True,1,0,1,0,0,0,0,0,0,0,0,0,Youngstown,Ohio,l
16364,Columbus State Community College,columbus-state-community-college,approved,,,,,http://legacy.cscc.edu/about/legal-office/public-records.shtml,,,,https://www.muckrock.com/agency/columbus-323/columbus-state-community-college-16364/,1,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Columbus,Ohio,l
16779,State Of Kansas Department. Of Health And Environment,state-of-kansas-dept-of-health-and-environment,approved,,,,,http://www.kdheks.gov/open_records.html,,,,https://www.muckrock.com/agency/topeka-14871/state-of-kansas-dept-of-health-and-environment-16779/,105,0,0,False,True,True,True,1,0,0,0,0,0,0,0,0,0,0,1,Topeka,Kansas,l
16980,"Treasurer, State Of Delaware",treasurer-state-of-delaware,approved,,,,,https://treasurer.delaware.gov/foia-requests/,,,,https://www.muckrock.com/agency/dover-4673/treasurer-state-of-delaware-16980/,1,0,0,False,True,True,True,1,0,1,0,0,0,0,0,0,0,0,0,Dover,Delaware,l
17120,Frederick County Maryland States Attorney,frederick-county-maryland-states-attorney,approved,,,,,,,,,https://www.muckrock.com/agency/frederick-county-16477/frederick-county-maryland-states-attorney-17120/,63,0,0,False,False,True,True,1,0,0,1,0,0,0,0,0,0,0,0,Frederick County,Maryland,l
17146,Massachusetts State Auditor,massachusetts-state-auditor,approved,,,,,https://www.mass.gov/how-to/request-public-records-from-the-osa,,,,https://www.muckrock.com/agency/boston-3/massachusetts-state-auditor-17146/,15,0,0,False,True,False,True,1,0,0,1,0,0,0,0,0,0,0,0,Boston,Massachusetts,l
17205,Washington State Archives,washington-state-archives,approved,,,,,,,,,https://www.muckrock.com/agency/washington-54/washington-state-archives-17205/,0,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Washington,United States of America,s
17223,Michigan State University Office Of Institutional Research,michigan-state-university-office-of-institutional-research,approved,,,,,https://opb.msu.edu/functions/institution/index.html,,,,https://www.muckrock.com/agency/michigan-117/michigan-state-university-office-of-institutional-research-17223/,28,0,100,False,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,Michigan,United States of America,s
17231,Nevada State College Office Of Institutional Research,nevada-state-college-office-of-institutional-research,approved,,,,,http://archive.nsc.edu/institutional-research/contact-information.aspx,,,,https://www.muckrock.com/agency/henderson-21651/nevada-state-college-office-of-institutional-research-17231/,1,0,0,False,True,False,True,1,0,0,1,0,0,0,0,0,0,0,0,Henderson,Nebraska,l
17303,Republican State Central Committee Of Connecticut,republican-state-central-committee-of-connecticut,approved,,,,,,,,,https://www.muckrock.com/agency/connecticut-53/republican-state-central-committee-of-connecticut-17303/,0,0,0,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,Connecticut,United States of America,s
17367,Morgan State University,morgan-state-university,approved,,,,,https://www.morgan.edu/about/maryland_public_information_act.html,,,,https://www.muckrock.com/agency/baltimore-315/morgan-state-university-17367/,0,0,0,False,True,False,True,1,0,0,1,0,0,0,0,0,0,0,0,Baltimore,Maryland,l
17377,Jackson State University,jackson-state-university,approved,,,,,http://www.jsums.edu/counsel/ogc-staff/,,,,https://www.muckrock.com/agency/jackson-16951/jackson-state-university-17377/,71,0,100,False,False,True,True,1,1,0,0,0,0,0,0,0,0,0,0,Jackson,Michigan,l
17396,The State Bar Of California,the-state-bar-of-california,approved,,,,,http://www.calbar.ca.gov/About-Us/Our-Mission/Protecting-the-Public/Public-Records,,,,https://www.muckrock.com/agency/california-52/the-state-bar-of-california-17396/,152,0,0,False,True,False,True,1,0,1,0,0,0,0,0,0,0,0,0,California,United States of America,s
17409,Texas State Securities Board,texas-state-securities-board,approved,,,,,https://www.ssb.texas.gov/about-us/open-records,,,,https://www.muckrock.com/agency/texas-109/texas-state-securities-board-17409/,3,0,100,False,True,True,True,1,1,0,0,0,0,0,0,0,0,0,0,Texas,United States of America,s
17417,Office Of The State Attorney 10th Judicial Circuit,office-of-the-state-attorney-10th-judicial-circuit,approved,,,,,https://www.sao10.com/resources/public-records-request/,,,,https://www.muckrock.com/agency/bartow-10339/office-of-the-state-attorney-10th-judicial-circuit-17417/,2,0,0,False,True,True,True,1,0,0,1,0,0,0,0,0,0,0,0,Bartow,Florida,l
